data,rbob_usd,Abertura,Maxima,Minima,Vol,Var
17/08/2022,2.4954,2.4616,2.5122,2.4480,4.88,1.37
16/08/2022,2.4616,2.4954,2.5182,2.4435,4.45,-1.83
15/08/2022,2.5076,2.5638,2.5638,2.4450,3.92,-17.61
14/08/2022,3.0434,3.0491,3.0510,3.0419,,18.39
12/08/2022,2.5707,2.5999,2.5999,2.5284,5.01,-0.73
11/08/2022,2.5896,2.5400,2.5959,2.5387,6.39,1.54
10/08/2022,2.5503,2.4910,2.5527,2.4325,6.09,2.81
09/08/2022,2.4806,2.4254,2.5161,2.4254,5.71,1.13
08/08/2022,2.4529,2.4068,2.4551,2.3668,4.21,-13.40
07/08/2022,2.8326,2.8522,2.8622,2.8296,,18.31
05/08/2022,2.3943,2.3686,2.4239,2.3506,5.20,0.48
04/08/2022,2.3829,2.4645,2.4645,2.3592,7.24,-2.91
03/08/2022,2.4542,2.5294,2.5864,2.4498,3.93,-3.21
02/08/2022,2.5356,2.4876,2.5824,2.4876,5.51,0.65
01/08/2022,2.5193,2.6123,2.6123,2.4785,5.18,-18.72
