data,dolar_blr,Abertura,Maxima,Minima,Vol,Var
20/10/2022,5.2147,5.2707,5.2716,5.1922,189.24,-1.05
19/10/2022,5.2700,5.2414,5.2998,5.2411,182.98,0.56
18/10/2022,5.2405,5.2833,5.2993,5.2336,176.73,-0.76
17/10/2022,5.2808,5.3288,5.3307,5.2531,132.52,-0.83
14/10/2022,5.3252,5.2629,5.3347,5.2407,164.83,1.19
13/10/2022,5.2626,5.2725,5.3817,5.2288,169.10,-0.57
12/10/2022,5.2930,5.3034,5.3034,5.2932,8.27,-0.14
11/10/2022,5.3005,5.1899,5.3057,5.1770,174.89,2.13
10/10/2022,5.1901,5.1999,5.2174,5.1625,137.86,-0.18
07/10/2022,5.1996,5.2215,5.2533,5.1937,172.97,-0.42
06/10/2022,5.2217,5.1959,5.2333,5.1723,182.70,0.53
05/10/2022,5.1940,5.1779,5.2442,5.1593,177.29,0.33
04/10/2022,5.1770,5.1650,5.2218,5.1083,167.00,0.19
03/10/2022,5.1672,5.4158,5.4158,5.1526,162.97,-4.58
30/09/2022,5.4154,5.4013,5.4278,5.3282,191.95,0.35
29/09/2022,5.3964,5.3765,5.4300,5.3730,226.00,0.41
28/09/2022,5.3745,5.3814,5.4236,5.3226,215.45,-0.15
27/09/2022,5.3824,5.3910,5.3954,5.2963,240.28,-0.14
26/09/2022,5.3898,5.2603,5.4174,5.2603,198.86,2.48
23/09/2022,5.2595,5.1173,5.2693,5.1164,188.07,2.79
22/09/2022,5.1166,5.1728,5.1859,5.1055,194.13,-1.06
21/09/2022,5.1716,5.1430,5.1940,5.1188,195.92,0.58
20/09/2022,5.1417,5.1705,5.2240,5.1406,162.36,-0.49
19/09/2022,5.1670,5.2544,5.3029,5.1420,126.67,-1.64
16/09/2022,5.2531,5.2462,5.3105,5.2462,169.32,0.12
15/09/2022,5.2470,5.1644,5.2502,5.1641,135.04,1.63
14/09/2022,5.1631,5.1922,5.1986,5.1495,136.73,-0.54
13/09/2022,5.1911,5.0918,5.2092,5.0766,177.68,1.93
12/09/2022,5.0930,5.1477,5.1477,5.0834,126.68,-1.03
09/09/2022,5.1462,5.2143,5.2146,5.1378,151.12,-1.30
08/09/2022,5.2141,5.2483,5.2523,5.1783,195.76,-0.65
07/09/2022,5.2480,5.2507,5.2507,5.2483,34.56,-0.09
06/09/2022,5.2528,5.1547,5.2539,5.1532,134.86,1.96
05/09/2022,5.1516,5.1660,5.1905,5.1495,93.71,-0.32
02/09/2022,5.1681,5.2422,5.2422,5.1575,153.53,-1.40
01/09/2022,5.2416,5.1833,5.2577,5.1462,169.57,1.13
